stop_id,stop_name,stop_lat,stop_lon,color
METROBUSL4-MDOSANJUAN0,Metrobús Mercados San Juan,19.43077,-99.14465,FF9A03
METROBUSL4-VOCA5,Metrobús Vocacional 5,19.43176,-99.15095,FF9A03
METROBUSL4-GTACOLON0,Metrobús Glorieta de Colón,19.43501,-99.15337,FF9A03
METROBUSL4-AEROT2,Metrobús Terminal 2 - Aeropuerto,19.42148,-99.07725,FF9A03
METROBUSL5-RIOREMEDIOS,Metrobús Río de los Remedios,19.50711,-99.08593,141982
METROBUSL5-NEWSDIVINE,Metrobús 314 Memorial New's Divine,19.50088,-99.08891,141982
METROBUSL5-5MAYO,Metrobús 5 de Mayo,19.49716,-99.09044,141982
METROBUSL5-VASCOQUIRO,Metrobús Vasco de Quiroga,19.49335,-99.09202,141982
METROBUSL5-COYOL,Metrobús El Coyol,19.48746,-99.09447,141982
METROBUSL5-PREPA3,Metrobús Preparatoria 3,19.4836,-99.09618,141982
METROBUSL5-SANJUANARAGO,Metrobús San Juan de Aragón,19.47996,-99.09772,141982
METROBUSL5-RIOGPE,Metrobús Río de Guadalupe,19.47607,-99.0993,141982
METROBUSL5-TALISMAN,Metrobús Talisman,19.47108,-99.10141,141982
METROBUSL5-VICTORIA,Metrobús Victoria,19.46742,-99.10291,141982
METROBUSL5-OTE101,Metrobús Oriente 101,19.4609,-99.10568,141982
METROBUSL5-RIOSTACOLETA,Metrobús Río Santa Coleta,19.45608,-99.10756,141982
METROBUSL5-RIOCONSULADO,Metrobús Río Consulado,19.45369,-99.10854,141982
METROBUSL5-CANALNTE,Metrobús Canal del Norte,19.4496,-99.11037,141982
METROBUSL5-DVOEDOMOLINA,Metrobús Deportivo Eduardo Molina,19.44478,-99.11212,141982
METROBUSL5-SANLAZARO,Metrobús San Lázaro Norte,19.43122,-99.1152,141982
METROBUSL6-ROSARIO,Metrobús El Rosario,19.50717,-99.19955,E44599
METROBUSL6-COLBACH1,Metrobús Colegio de Bachilleres 1,19.51164,-99.19731,E44599
METROBUSL6-CULTURAS,Metrobús De Las Culturas,19.51094,-99.19261,E44599
METROBUSL6-UAMAZCAPOTZ,Metrobús UAM Azcapotzalco,19.50401,-99.18399,E44599
METROBUSL6-TECNOPARQUE,Metrobús Tecnoparque,19.50247,-99.17888,E44599
METROBUSL6-NTE59,Metrobús Norte 59,19.49762,-99.16555,E44599
